road_type,hour,congestion_index
all,0,0.9575334200084469
all,1,0.9712598208775831
all,2,0.9796464331965005
all,3,0.984805666394472
all,4,0.9893063167215587
all,5,0.9924122785844773
all,6,0.9972060575910493
all,7,1.0
all,8,1.0
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9575334200084469
unclassified,1,0.9712598208775831
unclassified,2,0.9796464331965005
unclassified,3,0.984805666394472
unclassified,4,0.9893063167215587
unclassified,5,0.9924122785844773
unclassified,6,0.9972060575910493
unclassified,7,1.0
unclassified,8,1.0
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
